username,date,text
Per9Virly,2023-01-13 12:43:21,"Sidang perkara pembunuhan #BrigadirJ memasuki babak akhir. Pemeriksaan terhadap para terdakwa yang terlibat dalam kasus ini pun selesai. Bagaimana hasil keputusan hakim?

Saksikan #MetroTVKontroversi episode DAG DIG DUG TUNGGU TUNTUTAN Kamis (12/1) pukul 21.30 WIB. https://t.co/DXMEmXt8Jt"
adc1489,2023-01-13 12:25:23,"Wakil Ketua LPSK Edwin Partogi kembali membantah keterangan terdakwa kasus pembunuhan berencana Brigadir J, Putri Candrawathi yang menuding pertanyaan psikolog LPSK menyudutkannya sebagai korban kekerasan seksual. &lt; #Nasional #PutriCandrawathi 
https://t.co/lLHEa2YdjS"
Metro_TV,2023-01-13 12:25:03,"Jika memang lemah, mengapa Richard dijadikan Justice Collaborator ya? 

Saksikan #MetroTVKontroversi episode DAG DIG DUG TUNGGU TUNTUTAN di link https://t.co/7GzCMdAOde

#PutriCandrawathi #SidangFerdySamboCS #BrigadirJ #RichardEliezer #ferdysambo https://t.co/l08Kg1Acry"
kompascom,2023-01-13 12:21:53,"Wakil Ketua LPSK Edwin Partogi kembali membantah keterangan terdakwa kasus pembunuhan berencana Brigadir J, Putri Candrawathi yang menuding pertanyaan psikolog LPSK menyudutkannya sebagai korban kekerasan seksual. &lt; #Nasional #PutriCandrawathi 
https://t.co/lLHEa2YdjS"
Prakasa_AYP2,2023-01-13 12:15:48,"Kamu tim mana, guys? 

Saksikan #MetroTVKontroversi episode DAG DIG DUG TUNGGU TUNTUTAN di link https://t.co/7GzCMdAOde

#PutriCandrawathi #SidangFerdySamboCS #BrigadirJ #RichardEliezer #ferdysambo https://t.co/lkDVm0Vfk8"
adc1489,2023-01-13 12:13:57,"Dalam persidangan sebagai terdakwa kasus obstruction of justice kasus kematian Brigadir Yosua, Arif Rachman Arifin menyebut dirinya menyesal saat tahu Yosua masih hidup. &lt; #ArirRachman #BrigadirJ #ObstructionofJustice https://t.co/BdWFX4S51y"
kompascom,2023-01-13 12:13:30,"Lembaga Perlindungan Saksi Korban (LPSK) menunjukkan foto-foto pemeriksaan yang dilakukan oleh dua orang perempuan psikiater dan psikolog terhadap Putri Candrawathi. &lt; #Nasional #PutriCandrawathi 

https://t.co/LkqgkcpDJc"
Metro_TV,2023-01-13 12:11:57,"Kamu tim mana, guys? 

Saksikan #MetroTVKontroversi episode DAG DIG DUG TUNGGU TUNTUTAN di link https://t.co/7GzCMdAOde

#PutriCandrawathi #SidangFerdySamboCS #BrigadirJ #RichardEliezer #ferdysambo https://t.co/lkDVm0Vfk8"
kompascom,2023-01-13 12:11:51,"Dalam persidangan sebagai terdakwa kasus obstruction of justice kasus kematian Brigadir Yosua, Arif Rachman Arifin menyebut dirinya menyesal saat tahu Yosua masih hidup. &lt; #ArirRachman #BrigadirJ #ObstructionofJustice https://t.co/BdWFX4S51y"
SihSundar,2023-01-13 12:06:41,"Terdakwa Putri Candrawathi hanya diam saat ditanya Lembaga Perlindungan Saksi dan Korban (LPSK) soal hubungannya dengan Brigadir J.

Simak berita selengkapnya di https://t.co/GgtZcy4bbs
#HardNews_Hukum #NewsOne #CariBeritaditvOne #PutriCandrawathi #BrigadirJ https://t.co/GSs8Edj5Iw"
